Brand,Model,Status,Fuel_Type,Transmission,Horse_power,Age,MileagePerYear,Price
Citroen,Berlingo,occasion,Diesel,Manuelle,7.0,17,7175,18800
Citroen,Berlingo,occasion,Diesel,Manuelle,7.0,17,17647,16000
Citroen,Berlingo,occasion,Diesel,Manuelle,7.0,17,7175,19000
Citroen,Berlingo,occasion,Diesel,Manuelle,7.0,17,7175,16500
Citroen,Berlingo,occasion,Diesel,Manuelle,7.0,16,16250,24000
Citroen,Berlingo,occasion,Diesel,Manuelle,6.0,16,23750,123000
Citroen,Berlingo,occasion,Diesel,Manuelle,5.0,15,8132,25000
Citroen,Berlingo,occasion,Essence,Manuelle,6.0,15,17333,25500
Citroen,Berlingo,occasion,Diesel,Manuelle,6.0,14,8713,42500
Citroen,Berlingo,occasion,Diesel,Manuelle,5.0,14,13928,111111
Citroen,Berlingo,occasion,Diesel,Manuelle,7.0,14,15714,19000
Citroen,Berlingo,occasion,Diesel,Manuelle,7.0,14,8713,14700
Citroen,Berlingo,occasion,Diesel,Manuelle,6.0,13,28153,26000
Citroen,Berlingo,occasion,Diesel,Manuelle,7.0,13,27153,17500
Citroen,Berlingo,occasion,Diesel,Manuelle,5.0,13,9383,24500
Citroen,Berlingo,occasion,Diesel,Manuelle,5.0,12,20000,31000
Citroen,Berlingo,occasion,Diesel,Manuelle,4.0,12,20250,30000
Citroen,Berlingo,occasion,Diesel,Manuelle,6.0,11,22727,23500
Citroen,Berlingo,occasion,Diesel,Manuelle,5.0,11,15272,27499
Citroen,Berlingo,occasion,Diesel,Automatique,5.0,11,19090,47000
Citroen,Berlingo,occasion,Diesel,Manuelle,5.0,10,25000,53000
Citroen,Berlingo,occasion,Diesel,Manuelle,5.0,10,12198,29000
Citroen,Berlingo,occasion,Diesel,Manuelle,6.0,10,12198,123000
Citroen,Berlingo,occasion,Diesel,Manuelle,5.0,10,22000,29000
Citroen,Berlingo,occasion,Diesel,Manuelle,5.0,10,12198,25000
Citroen,Berlingo,occasion,Diesel,Manuelle,5.0,10,12198,32000
Citroen,Berlingo,occasion,Diesel,Manuelle,6.0,9,13554,24000
Citroen,Berlingo,occasion,Diesel,Manuelle,5.0,9,13554,27000
Citroen,Berlingo,occasion,Essence,Manuelle,7.0,8,15248,48500
Citroen,Berlingo,occasion,Diesel,Manuelle,6.0,7,20000,31500
